Site,Year,Season,NPP_dry,NPP_carbon,NPP_nitrogen,Growth_rate_dry,Growth_rate_carbon,Growth_rate_nitrogen,SE_NPP_dry,SE_NPP_carbon,SE_NPP_nitrogen,SE_growth_rate_dry,SE_growth_rate_carbon,SE_growth_rate_nitrogen
ABUR,2002,3-Summer,0.0642566874,0.0181838822,0.0013405899,0.027484863,0.0262013925,0.0271328676,0.0075911371,0.0023883613,0.000217765,0.0023424637,0.0024790823,0.0029398171
ABUR,2002,4-Autumn,0.0361242554,0.0089938052,0.0007882777,0.0249154535,0.024163093,0.0235306703,0.0074495585,0.0020192658,0.0001846275,0.0048383751,0.0049296822,0.0049894625
ABUR,2003,1-Winter,0.0131779162,0.0037249539,0.0002446782,0.0462644935,0.0477587186,0.0466633993,0.0027570298,0.0007772182,0.0000561853,0.0059489446,0.005974352,0.0062268768
ABUR,2003,2-Spring,0.0078607992,0.0024329176,0.0002087429,0.0333617299,0.034736102,0.0355086189,0.00162108,0.0005034639,0.0000451198,0.0053954786,0.0055045951,0.0056877856
ABUR,2003,3-Summer,0.0049752864,0.0016950382,0.0001048331,0.0281473564,0.0287028108,0.0285542172,0.0007410112,0.0002572428,0.0000195346,0.0037503217,0.003798185,0.0040490414
ABUR,2003,4-Autumn,0.0065900442,0.0017850039,0.0001512042,0.0353952037,0.0324202733,0.0362296314,0.001021904,0.0003079253,0.0000271609,0.0044224607,0.0045062656,0.0045915809
ABUR,2004,1-Winter,0.0038372253,0.0010041625,0.0000933375,0.0195678044,0.0193889597,0.0184324765,0.0010856805,0.000294798,0.0000295872,0.0053107375,0.0053731947,0.00565294
ABUR,2004,2-Spring,0.0000965974,0.0000259334,2.2202018E-6,0.0223853266,0.0236684944,0.0253313672,0.0000173617,4.6899371E-6,4.606748E-7,0.0042627095,0.0043719404,0.0048410771
ABUR,2004,3-Summer,0.0020820104,0.0006014125,0.0000272519,0.0580591611,0.058841697,0.0516799367,0.0002904765,0.0000875596,4.5002807E-6,0.0044525784,0.0045047134,0.004712195
ABUR,2004,4-Autumn,0.0055356788,0.0015396899,0.0000676526,0.0363989594,0.035781609,0.0371647926,0.0007664456,0.0002207777,0.0000121302,0.0035036303,0.0035451971,0.0041677688
ABUR,2005,1-Winter,0.0009752759,0.0002197595,0.0000123033,0.0132521465,0.0133309234,0.0132207234,0.0003865893,0.0000984346,5.4222264E-6,0.0046765007,0.0048238613,0.0049797364
ABUR,2005,2-Spring,0.0028600198,0.0007570932,0.0000757733,0.042088869,0.0419849757,0.049134109,0.0003710819,0.0001024508,0.0000128748,0.0035630281,0.0037122175,0.0041838838
ABUR,2005,3-Summer,0.0030341754,0.0008295623,0.000032443,0.0283789593,0.0292333166,0.019002622,0.0004297894,0.0001227421,7.4848236E-6,0.0032456668,0.0033437993,0.0035617697
ABUR,2005,4-Autumn,0.0054186317,0.0014805821,0.0000703037,0.0297842546,0.0297244505,0.0332587996,0.000763588,0.000218708,0.0000123142,0.0030254112,0.0031298984,0.0036870103
ABUR,2006,1-Winter,0.0012900814,0.0003366423,0.0000325271,0.0242320295,0.0226930441,0.0297162218,0.0002767408,0.0000843374,6.9598191E-6,0.0033730654,0.0034821732,0.0043150953
ABUR,2006,2-Spring,0.0018822032,0.0005675901,0.0000392938,0.0313369604,0.0336462738,0.0278350971,0.0002918997,0.0000859496,8.5852635E-6,0.0043043179,0.0042664603,0.0051294582
ABUR,2006,3-Summer,0.0008286106,0.0002372169,4.5833245E-6,0.0224633747,0.0209937957,0.0166936259,0.0001577651,0.0000500015,1.3607038E-6,0.0032796012,0.0033840281,0.0038141352
ABUR,2006,4-Autumn,0.0007064959,0.0001939516,8.0791705E-6,0.0187969124,0.0175821156,0.0247988274,0.0001623859,0.0000467985,2.1119464E-6,0.004003545,0.0041846384,0.0046415109
ABUR,2007,1-Winter,0.0003437796,0.0001001532,7.2441821E-6,0.0368124055,0.0365754499,0.0393503019,0.0000688715,0.0000206719,1.531521E-6,0.0062309208,0.0062984349,0.0066264558
ABUR,2007,2-Spring,0.0006935236,0.000192066,0.0000116096,0.0346338399,0.0342716709,0.0320846914,0.0001004692,0.0000295571,2.1347719E-6,0.0032230973,0.0032939168,0.0036616086
ABUR,2007,3-Summer,0.0021838697,0.0006379766,0.0000255498,0.0436331716,0.0441916656,0.0390691775,0.0002654392,0.0000825652,3.8561532E-6,0.0040955421,0.0041942016,0.0044618979
ABUR,2007,4-Autumn,0.0079317256,0.0020171404,0.0001224823,0.037649697,0.0358126563,0.0431290157,0.001068064,0.0002922232,0.0000197883,0.0041539252,0.0041835204,0.0045384028
ABUR,2008,1-Winter,0.0039931165,0.0010654032,0.0000933016,0.0432925717,0.0450945435,0.0472163084,0.0006893509,0.0001811159,0.0000168007,0.0060499172,0.0061095727,0.0063733641
ABUR,2008,2-Spring,0.0055115254,0.0017003626,0.0001059498,0.0378541281,0.0380536518,0.0350296549,0.0007430542,0.0002666854,0.000022194,0.0026284696,0.0028476285,0.0036303947
ABUR,2008,3-Summer,0.0026456638,0.0008365882,0.0000247228,0.0128574246,0.014059398,0.01000639,0.000601323,0.0001984768,9.3734374E-6,0.0027732972,0.0030220804,0.0035552191
ABUR,2008,4-Autumn,0.0067503779,0.0021659067,0.0001241508,0.0382848664,0.0388304783,0.0453127691,0.0009975274,0.0003371953,0.0000214877,0.0039261051,0.0040682682,0.0044614069
ABUR,2009,1-Winter,0.017509314,0.0050577981,0.0003651417,0.0632240082,0.0619339327,0.0655660697,0.003272728,0.0009660323,0.0000760385,0.0079635012,0.007995552,0.0081873433
ABUR,2009,2-Spring,0.0023924644,0.000759974,0.0000650991,0.0324159376,0.0332268784,0.0331703104,0.0006585709,0.0002020542,0.0000194273,0.007185172,0.0072262089,0.0073656628
ABUR,2009,3-Summer,0.0007068238,0.0002394446,0.0000123803,0.0217682001,0.0235763844,0.0203621998,0.0001698118,0.0000548037,3.3993349E-6,0.0046787675,0.0047816248,0.0050320073
ABUR,2009,4-Autumn,0.000440073,0.0001375494,5.6031917E-6,0.0343890033,0.0307799512,0.0284680089,0.0001381058,0.0000459524,2.1287485E-6,0.008438712,0.0084846784,0.0089375143
ABUR,2010,1-Winter,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2010,2-Spring,0,0,0,0,0,0,0.000015493,4.0893632E-6,8.8630182E-8,0.0083127124,0.0066062821,0.0025004105
ABUR,2010,3-Summer,0.0007980379,0.0002788348,0.000017865,0.0390095966,0.0401285981,0.0429863694,0.0000950101,0.0000367001,2.9576249E-6,0.0035218352,0.0036927247,0.0043578959
ABUR,2010,4-Autumn,0.0014001303,0.0003758518,0.0000313427,0.0251359743,0.0225449215,0.0257976742,0.0001818626,0.0000531781,5.1524392E-6,0.0025987689,0.0026466421,0.0030468255
ABUR,2011,1-Winter,0.0008048504,0.0001995627,0.00001384,0.0241274131,0.0243656781,0.0224759644,0.0001397884,0.0000378633,3.2246276E-6,0.0042786189,0.0044636046,0.0047500649
ABUR,2011,2-Spring,0.000549273,0.0001618067,0.0000108942,0.033223739,0.033472,0.0320109817,0.000098834,0.0000284824,2.2772853E-6,0.0047395479,0.0047445007,0.0050783298
ABUR,2011,3-Summer,0.0009006724,0.0002601737,0.0000126933,0.0297487502,0.0293249791,0.0261514748,0.0001241,0.0000380864,2.3924002E-6,0.003460063,0.0035479548,0.0039198201
ABUR,2011,4-Autumn,0.0023794442,0.0007188174,0.0000514909,0.0286303676,0.0297949818,0.033666136,0.0002997504,0.0000980753,8.2688057E-6,0.0024149554,0.002547753,0.0030430489
ABUR,2012,1-Winter,0.0044081191,0.0011812431,0.0000883346,0.0297262395,0.028650146,0.0306160202,0.0006154692,0.0001763286,0.0000160043,0.0029201853,0.0029921415,0.0034449592
ABUR,2012,2-Spring,0.0069414096,0.0022670517,0.0001589599,0.0262057025,0.0273247641,0.0248923279,0.0010252166,0.0003529358,0.0000310776,0.0026351072,0.0027405156,0.0034060268
ABUR,2012,3-Summer,0.0106455918,0.0031919277,0.0001053703,0.0268192029,0.0277514513,0.0227384594,0.0014582558,0.0004571469,0.0000205763,0.0025728869,0.0027966355,0.003228629
ABUR,2012,4-Autumn,0.0115725152,0.0036352418,0.0002169777,0.0346403199,0.0339996567,0.0410951031,0.0016145345,0.0005383694,0.0000358009,0.0038629371,0.0040081691,0.0043264365
ABUR,2013,1-Winter,0.0139186484,0.0045532382,0.0003438322,0.0289583263,0.0308587423,0.0315550441,0.0016750046,0.00064323,0.0000620929,0.0026912448,0.0028940051,0.0035569511
ABUR,2013,2-Spring,0.0135280478,0.004122928,0.0002181674,0.0201329993,0.0197672073,0.0225986901,0.0016683049,0.0005516319,0.0000362876,0.0019274729,0.0021272979,0.0030518882
ABUR,2013,3-Summer,0.0124639927,0.003919451,0.0001128734,0.0197372899,0.0196336688,0.0128405814,0.0016454129,0.000560402,0.0000268449,0.002118634,0.0022641486,0.0028259249
ABUR,2013,4-Autumn,0.0090122597,0.0025583901,0.0000837151,0.0187480385,0.0174794312,0.0204093555,0.0015079041,0.000462259,0.0000169668,0.0025711792,0.0026302829,0.0031813936
ABUR,2014,1-Winter,0.0094961089,0.003556323,0.000176379,0.0408194076,0.0432110543,0.047933557,0.0026430464,0.0009679945,0.0000494845,0.0134880129,0.0134525396,0.0134550841
ABUR,2014,2-Spring,0.0011922085,0.0004315575,0.0000204538,0.0345139592,0.0351091478,0.0321549476,0.0001327881,0.0000507558,3.7405137E-6,0.0036338651,0.0036878627,0.0045339924
ABUR,2014,3-Summer,0.0026530452,0.0010591259,0.0000289594,0.0248515976,0.0257722565,0.023049189,0.000314274,0.0001353213,5.1814915E-6,0.0017669261,0.0019093249,0.0025542433
ABUR,2014,4-Autumn,0.0050506384,0.0019778431,0.0000742419,0.0384940463,0.0387300742,0.0434250642,0.0008456817,0.0003468428,0.0000140355,0.0056634573,0.0057102579,0.0058829631
ABUR,2015,1-Winter,0.0043613743,0.0016948768,0.0000807146,0.0413320656,0.0412224854,0.0455236156,0.0006712411,0.0002712492,0.0000132815,0.0055094307,0.0056149652,0.0057924391
ABUR,2015,2-Spring,0.0052948918,0.0019944574,0.0000902919,0.045616595,0.0449885668,0.0379045315,0.0006666835,0.000262027,0.0000159648,0.0042195668,0.0042838575,0.0046171816
ABUR,2015,3-Summer,0.0082547013,0.0030499186,0.0000747146,0.0326732521,0.032419597,0.0307246504,0.0013219769,0.0005107935,0.0000162924,0.0041849875,0.0041816961,0.004458952
ABUR,2015,4-Autumn,0.0027001208,0.000996472,0.0000494767,0.0198808574,0.0187842699,0.0274611452,0.0006082222,0.0002331447,0.0000104781,0.0045358022,0.0044905465,0.0049609943
ABUR,2016,1-Winter,0.0002104906,0.0000709373,7.9634314E-6,0.0178370279,0.0165322555,0.0130048817,0.0001669218,0.0000552958,3.9437502E-6,0.0096958814,0.009235074,0.007851182
ABUR,2016,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2016,3-Summer,0.0023097697,0.0007341877,0.0000323453,0.0997967006,0.1005141654,0.103430107,0.0004466764,0.0001437111,6.912893E-6,0.0146488433,0.0147598153,0.0147572739
ABUR,2016,4-Autumn,0.0031632263,0.0008680128,0.0000476934,0.0607373246,0.059511275,0.0627915901,0.0005041654,0.000141756,8.3237501E-6,0.0073901491,0.0074144928,0.0075693439
ABUR,2017,1-Winter,0.0004085771,0.0001273202,9.5804378E-6,0.0139010495,0.0160119167,0.0177645549,0.0001711474,0.0000523679,3.7825416E-6,0.0097368723,0.0102138743,0.010268577
ABUR,2017,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2017,3-Summer,0.0000738341,0.0000235671,6.2363192E-7,0.0397884532,0.0383849089,0.0352662773,0.0000103179,3.4666539E-6,1.1174033E-7,0.0039923881,0.004159477,0.0047783732
ABUR,2017,4-Autumn,0.0006694808,0.0001957348,0.0000103669,0.0396910861,0.0392886715,0.0466820761,0.0000889301,0.0000276412,1.8165208E-6,0.003053359,0.0031246326,0.0036334323
ABUR,2018,1-Winter,0.0045082105,0.0012503939,0.0000912746,0.0496034078,0.0485569386,0.054658701,0.0005443309,0.0001590079,0.0000140969,0.004195203,0.004247611,0.0046102344
ABUR,2018,2-Spring,0.0102338632,0.0033267219,0.0001701346,0.0330549829,0.0348314084,0.0283334171,0.0013268247,0.0004534726,0.0000343941,0.0028534056,0.0029282778,0.0034847688
ABUR,2018,3-Summer,0.0046222953,0.0013161385,0.000069193,0.0187896075,0.0182852587,0.0197715183,0.0010525408,0.0003264295,0.0000195697,0.0036565218,0.0037010971,0.0043471142
ABUR,2018,4-Autumn,0.003110282,0.0009384823,0.0000326918,0.0530215118,0.0531186959,0.0506174053,0.0006783713,0.0002077246,8.347278E-6,0.0109038599,0.0109353708,0.0110306835
ABUR,2019,1-Winter,0.000077556,0.0000269866,1.1042942E-6,0.0460396544,0.0457492069,0.0471460649,0.0000278976,9.3133424E-6,4.0163088E-7,0.0078677433,0.0079532113,0.0083619527
ABUR,2019,2-Spring,0.0004520711,0.0001391924,6.369263E-6,0.0638270041,0.0636657537,0.0605858165,0.0000543186,0.0000177156,1.0580408E-6,0.0039220633,0.003997005,0.0042695096
ABUR,2019,3-Summer,0.0010094315,0.0003010011,0.0000105345,0.0269500004,0.0266211007,0.0277465158,0.0001608983,0.0000485286,1.9577649E-6,0.0035132148,0.0036159614,0.0042478782
ABUR,2019,4-Autumn,0.0010269228,0.0003805782,0.0000156485,0.0267943155,0.029192836,0.0301106602,0.0001688098,0.0000597549,2.9451607E-6,0.0038635718,0.003879528,0.0040086306
ABUR,2020,1-Winter,0.000884664,0.0002722581,7.023788E-6,0.0583858878,0.0556621481,0.0492069953,0.0001984845,0.0000659215,2.244578E-6,0.0114384466,0.0117773343,0.0116992665
ABUR,2020,3-Summer,0.0000470427,0.0000139842,4.5049228E-7,0.0376058437,0.0364734238,0.0387061627,8.6053823E-6,2.6651211E-6,8.9784057E-8,0.0065080399,0.0065320575,0.0065910219
ABUR,2020,4-Autumn,0.0001952667,0.0000542684,2.9351594E-6,0.0507922148,0.0502046811,0.0563231153,0.0000439559,0.0000124929,7.5312097E-7,0.0068164968,0.0068378922,0.0071568451
ABUR,2021,1-Winter,0.0004961647,0.0001330513,9.3613519E-6,0.0444020478,0.0439081743,0.0479555418,0.0001021526,0.0000279466,1.9181921E-6,0.0065319882,0.0066118798,0.0066377422
ABUR,2021,2-Spring,0.0007456331,0.000238741,0.0000164882,0.0279938925,0.0300684743,0.0272215837,0.0001443363,0.000047295,4.4364792E-6,0.0038734678,0.0040136404,0.0045673853
ABUR,2021,3-Summer,0.0008848715,0.0002747455,0.0000161467,0.022695798,0.0221002724,0.0269257019,0.0002503974,0.0000798155,5.1440238E-6,0.0048301832,0.0048295628,0.0052257138
ABUR,2021,4-Autumn,0.0003475191,0.0000932448,5.6254859E-6,0.0753830685,0.0765380351,0.0789734848,0.0000783123,0.000020635,1.2960658E-6,0.0138211348,0.0138440418,0.0139359388
ABUR,2022,1-Winter,0.0006645073,0.0001690066,0.0000145393,0.0531304088,0.0514367478,0.0552278264,0.0001331767,0.0000336651,3.4553822E-6,0.0077312398,0.0077606636,0.0080594453
ABUR,2022,2-Spring,0.000746374,0.0001945817,0.0000148111,0.0422003503,0.0434657139,0.0401644061,0.0001516422,0.000038572,3.5876524E-6,0.0079081417,0.0079613384,0.0079627123
ABUR,2022,3-Summer,0.000449458,0.0001484262,4.6247946E-6,0.0274205327,0.0286036037,0.0223588527,0.0001201436,0.000039144,1.8202439E-6,0.0041291252,0.0042481727,0.0045569306
ABUR,2022,4-Autumn,0.0008316206,0.0002186415,0.0000146667,0.0551055285,0.052218445,0.0576839061,0.0002036627,0.0000549722,3.8860499E-6,0.0074615568,0.0074628949,0.0078280148
ABUR,2023,1-Winter,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2023,2-Spring,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
ABUR,2023,3-Summer,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2023,4-Autumn,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
ABUR,2024,1-Winter,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
AQUE,2002,3-Summer,0.0377126224,0.0091339458,0.0003613919,0.0328914951,0.0298015574,0.0280809971,0.0039754521,0.00110672,0.0000582296,0.003026778,0.0031231166,0.0036434376
AQUE,2002,4-Autumn,0.017273224,0.004518455,0.0003850787,0.0221024954,0.0222902726,0.0295762768,0.0023778529,0.0006383712,0.0000640862,0.0031004735,0.0031628107,0.00358168
AQUE,2003,1-Winter,0.0080801419,0.0022546196,0.0001943496,0.0329942126,0.0342768081,0.0356782232,0.001146984,0.0003209038,0.0000311224,0.0036999092,0.0038015458,0.0041392863
AQUE,2003,2-Spring,0.0157466282,0.0049069692,0.0004789513,0.0334657846,0.0340355454,0.0354016965,0.0015308007,0.0005058031,0.0000623422,0.0024534569,0.0025449966,0.0030053918
AQUE,2003,3-Summer,0.017276408,0.005716163,0.0004845984,0.0264035749,0.0271938173,0.0252913029,0.0016043234,0.0005913174,0.0000732119,0.0020475284,0.0022140909,0.0028294427
AQUE,2003,4-Autumn,0.0176762073,0.0046465538,0.0003436233,0.0255587321,0.023208688,0.0207656326,0.0019071288,0.0005790852,0.0000579598,0.0024888476,0.0026330101,0.0030455072
AQUE,2004,1-Winter,0.0178704172,0.0043483283,0.0003926033,0.0447616837,0.0447892475,0.0436928402,0.0028233851,0.0007185447,0.0000756947,0.0063443575,0.0063276943,0.0067130144
AQUE,2004,2-Spring,0.0149467856,0.004257917,0.0003391836,0.0459718604,0.047165196,0.0513854654,0.002078042,0.00061889,0.0000612131,0.0048800908,0.0049868389,0.0054014653
AQUE,2004,3-Summer,0.0120190012,0.0036463093,0.0001805003,0.0256226272,0.0255136299,0.0201059551,0.0014098218,0.0004676743,0.0000329531,0.002452108,0.002613378,0.0031488274
AQUE,2004,4-Autumn,0.0138842195,0.0036475561,0.0001808417,0.0328353663,0.0313565952,0.0334019615,0.0017430515,0.0004944028,0.0000281407,0.0036321302,0.0036838364,0.0040188306
AQUE,2005,1-Winter,0.0082288987,0.0020276193,0.0001376255,0.0327228456,0.0325532961,0.0355757252,0.0013667079,0.0003554102,0.000023957,0.0047265151,0.0048384314,0.0051579635
AQUE,2005,2-Spring,0.0091019836,0.0024422328,0.0002716221,0.0317602932,0.0324619065,0.0369047159,0.0007139578,0.0002095569,0.000034324,0.0020056802,0.0021859387,0.0028353103
AQUE,2005,3-Summer,0.0172127927,0.0044869341,0.0003146517,0.0301809023,0.0297450682,0.0245368712,0.0016016838,0.0004572963,0.0000477541,0.0022097758,0.0023026484,0.0028441216
AQUE,2005,4-Autumn,0.009671694,0.0024438417,0.0001665175,0.0333898907,0.033598096,0.0354272479,0.00131132,0.0003571253,0.0000300655,0.0040865182,0.0041412757,0.0045266456
AQUE,2006,1-Winter,0.0107257724,0.003253848,0.0002360607,0.065288185,0.0668310284,0.0662385063,0.0017006097,0.0005372598,0.0000445369,0.0080877004,0.0080960645,0.0083129551
AQUE,2006,2-Spring,0.0037114247,0.0010498782,0.0000613952,0.0417290997,0.0410495398,0.0371157287,0.000861578,0.0002528033,0.0000184674,0.0072487949,0.0072774399,0.0077086249
AQUE,2006,3-Summer,0.0078559834,0.0023350745,0.0000825573,0.0375225556,0.0381685711,0.0345107086,0.0007940532,0.0002529976,0.0000124528,0.0030044213,0.0031384197,0.0035290418
AQUE,2006,4-Autumn,0.0157972928,0.0048758008,0.0001816633,0.0264459669,0.0269310007,0.0278772169,0.001293884,0.0004496663,0.0000262689,0.0016046824,0.0017514836,0.00259131
AQUE,2007,1-Winter,0.0213600444,0.005364372,0.0003682699,0.0297981182,0.0271803497,0.0331246915,0.0019680829,0.0005790563,0.00004504,0.002533509,0.0026342932,0.0030849241
AQUE,2007,2-Spring,0.016918908,0.0041583367,0.0003882735,0.0228658927,0.0238108328,0.0250389264,0.0017148912,0.0004463074,0.0000545628,0.0021531264,0.0023244623,0.0026324068
AQUE,2007,3-Summer,0.009173821,0.0029061327,0.0000947334,0.0257355136,0.0278402733,0.0199021907,0.000851073,0.0002794638,0.0000171469,0.0020691602,0.0021902019,0.0026369378
AQUE,2007,4-Autumn,0.0119101982,0.0027972201,0.0002249966,0.0346873342,0.0311195773,0.0399558899,0.0015808506,0.0004194087,0.0000366157,0.0046346635,0.0046854992,0.0049800124
AQUE,2008,1-Winter,0.0127352882,0.0030753652,0.0002849805,0.0569472133,0.0580311972,0.0592779501,0.0016144691,0.0003990159,0.0000452782,0.0064728715,0.00652118,0.0067186188
AQUE,2008,2-Spring,0.0089328315,0.0023201577,0.0001613002,0.0341179491,0.0343471291,0.0299226072,0.0006241081,0.0001888337,0.0000206027,0.0018747186,0.0020132583,0.0027040628
AQUE,2008,3-Summer,0.0115466556,0.0039189633,0.0001224577,0.0263154344,0.0287416898,0.0222615457,0.0010435524,0.0003862992,0.0000209528,0.0021497248,0.0023222242,0.0031277528
AQUE,2008,4-Autumn,0.0164283882,0.0050119075,0.000227607,0.035203162,0.0341196826,0.0387380115,0.0013793096,0.000476545,0.0000281823,0.0026700969,0.0027292047,0.0032014158
AQUE,2009,1-Winter,0.0203537153,0.0052020664,0.0004141851,0.0320441375,0.0304166321,0.0372261425,0.0021710099,0.0006066654,0.0000627031,0.0028797125,0.0029810349,0.0034639981
AQUE,2009,2-Spring,0.0160953484,0.0047888475,0.0003589174,0.0272230815,0.0295375615,0.0239777024,0.0019355305,0.0005805427,0.0000626118,0.0027925126,0.0028881647,0.0032469495
AQUE,2009,3-Summer,0.0058943636,0.0019226554,0.0000806779,0.024305493,0.0237539084,0.0227542665,0.0007250468,0.0002597413,0.0000155308,0.0026853364,0.0027633592,0.0032527675
AQUE,2009,4-Autumn,0.0114881582,0.0036995594,0.0001526473,0.0502509043,0.050832602,0.0491966877,0.0012717034,0.0004317216,0.0000227266,0.0046962193,0.0047522358,0.0050528592
AQUE,2010,1-Winter,0.0057373063,0.0019297316,0.0001099191,0.0543190996,0.0555422177,0.0607501002,0.0009698731,0.0003289968,0.0000196578,0.0091708424,0.0091914455,0.0093501467
AQUE,2010,2-Spring,0.0015008195,0.0004419317,0.0000375978,0.073845568,0.0716981245,0.0732020923,0.0002733849,0.0000825879,7.7550117E-6,0.0091301091,0.0091377997,0.0093275877
AQUE,2010,3-Summer,0.003597462,0.0011071844,0.0000577453,0.0841610504,0.0845871996,0.0800300684,0.0003256604,0.0001098285,7.2718128E-6,0.0066670705,0.0067135007,0.0069323686
AQUE,2010,4-Autumn,0.0060535759,0.0017669441,0.0001329477,0.0492071167,0.0486736941,0.0535996871,0.001101114,0.0003406715,0.0000284554,0.0078493923,0.007957759,0.0081364037
AQUE,2011,1-Winter,0.0002094708,0.0000663127,4.9086617E-6,0.0343360659,0.0372691109,0.0345213633,0,0,0,0,0,0
AQUE,2011,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2011,3-Summer,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2011,4-Autumn,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2012,1-Winter,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2012,2-Spring,0,0,0,-99999,-99999,-99999,0,0,0,-99999,-99999,-99999
AQUE,2012,3-Summer,0.0037007815,0.0010232342,0.0000394359,0.0703476895,0.0695974384,0.0624544693,0.0002284797,0.0000759246,4.9760653E-6,0.0019816755,0.0021540552,0.0030211319
AQUE,2012,4-Autumn,0.0097008784,0.0028926608,0.0001351431,0.0300642303,0.0316394052,0.0349651256,0.0010129054,0.000305899,0.0000171292,0.0027905764,0.0029047832,0.0032916339
AQUE,2013,1-Winter,0.0150086439,0.0051443459,0.0003172331,0.0328429097,0.0329725593,0.0340826776,0.0014856629,0.0005413114,0.0000454998,0.0026918288,0.00284142,0.0034781047
