model,MONTH,Independent_variable,Dependent_variable,slope,intercept,pvalue,rsquare,N
1,1,Frond density (num m-2) in January,FSC dry (kg dry mass m-2) in January,0.07272,0,<.0001,0.95,41
1,2,Frond density (num m-2) in February,FSC dry (kg dry mass m-2) in February,0.07697,0,<.0001,0.94,45
1,3,Frond density (num m-2) in March,FSC dry (kg dry mass m-2) in March,0.08926,0,<.0001,0.94,45
1,4,Frond density (num m-2) in April,FSC dry (kg dry mass m-2) in April,0.09643,0,<.0001,0.95,46
1,5,Frond density (num m-2) in May,FSC dry (kg dry mass m-2) in May,0.10386,0,<.0001,0.95,48
1,6,Frond density (num m-2) in June,FSC dry (kg dry mass m-2) in June,0.10103,0,<.0001,0.91,48
1,7,Frond density (num m-2) in July,FSC dry (kg dry mass m-2) in July,0.09267,0,<.0001,0.88,48
1,8,Frond density (num m-2) in August,FSC dry (kg dry mass m-2) in August,0.09204,0,<.0001,0.85,48
1,9,Frond density (num m-2) in September,FSC dry (kg dry mass m-2) in September,0.08054,0,<.0001,0.88,48
1,10,Frond density (num m-2) in October,FSC dry (kg dry mass m-2) in October,0.08505,0,<.0001,0.82,45
1,11,Frond density (num m-2) in November,FSC dry (kg dry mass m-2) in November,0.06151,0,<.0001,0.92,48
1,12,Frond density (num m-2) in December,FSC dry (kg dry mass m-2) in December,0.06769,0,<.0001,0.93,48
2,1,Frond density (num m-2) in January,Canopy FSC dry (kg dry mass m-2) in January,0.02279,0,<.0001,0.76,41
2,2,Frond density (num m-2) in February,Canopy FSC dry (kg dry mass m-2) in February,0.02952,0,<.0001,0.73,45
2,3,Frond density (num m-2) in March,Canopy FSC dry (kg dry mass m-2) in March,0.03911,0,<.0001,0.82,45
2,4,Frond density (num m-2) in April,Canopy FSC dry (kg dry mass m-2) in April,0.04835,0,<.0001,0.86,46
2,5,Frond density (num m-2) in May,Canopy FSC dry (kg dry mass m-2) in May,0.05329,0,<.0001,0.87,48
2,6,Frond density (num m-2) in June,Canopy FSC dry (kg dry mass m-2) in June,0.04962,0,<.0001,0.81,48
2,7,Frond density (num m-2) in July,Canopy FSC dry (kg dry mass m-2) in July,0.04368,0,<.0001,0.73,48
2,8,Frond density (num m-2) in August,Canopy FSC dry (kg dry mass m-2) in August,0.04134,0,<.0001,0.68,48
2,9,Frond density (num m-2) in September,Canopy FSC dry (kg dry mass m-2) in September,0.03272,0,<.0001,0.64,48
2,10,Frond density (num m-2) in October,Canopy FSC dry (kg dry mass m-2) in October,0.03346,0,<.0001,0.52,45
2,11,Frond density (num m-2) in November,Canopy FSC dry (kg dry mass m-2) in November,0.01452,0,<.0001,0.52,48
2,12,Frond density (num m-2) in December,Canopy FSC dry (kg dry mass m-2) in December,0.01822,0,<.0001,0.6,48
3,1,Frond density (num m-2) in January,Water Column FSC dry (kg dry mass m-2) in January,0.04993,0,<.0001,0.99,41
3,2,Frond density (num m-2) in February,Water Column FSC dry (kg dry mass m-2) in February,0.04745,0,<.0001,0.99,45
3,3,Frond density (num m-2) in March,Water Column FSC dry (kg dry mass m-2) in March,0.05015,0,<.0001,0.98,45
3,4,Frond density (num m-2) in April,Water Column FSC dry (kg dry mass m-2) in April,0.04807,0,<.0001,0.99,46
3,5,Frond density (num m-2) in May,Water Column FSC dry (kg dry mass m-2) in May,0.05058,0,<.0001,0.99,48
3,6,Frond density (num m-2) in June,Water Column FSC dry (kg dry mass m-2) in June,0.0514,0,<.0001,0.97,48
3,7,Frond density (num m-2) in July,Water Column FSC dry (kg dry mass m-2) in July,0.04899,0,<.0001,0.97,48
3,8,Frond density (num m-2) in August,Water Column FSC dry (kg dry mass m-2) in August,0.0507,0,<.0001,0.96,48
3,9,Frond density (num m-2) in September,Water Column FSC dry (kg dry mass m-2) in September,0.04782,0,<.0001,0.98,48
3,10,Frond density (num m-2) in October,Water Column FSC dry (kg dry mass m-2) in October,0.05158,0,<.0001,0.97,45
3,11,Frond density (num m-2) in November,Water Column FSC dry (kg dry mass m-2) in November,0.04698,0,<.0001,0.98,48
3,12,Frond density (num m-2) in December,Water Column FSC dry (kg dry mass m-2) in December,0.04946,0,<.0001,0.99,48
4,1,Frond density (num m-2) in January,Seasonal NPP dry (kg dry mass m-2 d-1) in winter,0.00229,0.00139,<.0001,0.75,40
4,2,Frond density (num m-2) in February,Seasonal NPP dry (kg dry mass m-2 d-1) in winter,0.00254,0.00137,<.0001,0.79,44
4,3,Frond density (num m-2) in March,Seasonal NPP dry (kg dry mass m-2 d-1) in winter,0.00274,0.00234,<.0001,0.8,44
4,4,Frond density (num m-2) in April,Seasonal NPP dry (kg dry mass m-2 d-1) in spring,0.00303,0.0004,<.0001,0.87,44
4,5,Frond density (num m-2) in May,Seasonal NPP dry (kg dry mass m-2 d-1) in spring,0.00285,-0.00003,<.0001,0.9,44
4,6,Frond density (num m-2) in June,Seasonal NPP dry (kg dry mass m-2 d-1) in spring,0.00274,-0.0006,<.0001,0.84,44
4,7,Frond density (num m-2) in July,Seasonal NPP dry (kg dry mass m-2 d-1) in summer,0.00323,-0.00179,<.0001,0.72,47
4,8,Frond density (num m-2) in August,Seasonal NPP dry (kg dry mass m-2 d-1) in summer,0.00295,-0.00343,<.0001,0.79,47
4,9,Frond density (num m-2) in September,Seasonal NPP dry (kg dry mass m-2 d-1) in summer,0.00266,-0.00333,<.0001,0.77,47
4,10,Frond density (num m-2) in October,Seasonal NPP dry (kg dry mass m-2 d-1) in autumn,0.00175,0.00078,<.0001,0.82,44
4,11,Frond density (num m-2) in November,Seasonal NPP dry (kg dry mass m-2 d-1) in autumn,0.00173,0.00188,<.0001,0.52,47
4,12,Frond density (num m-2) in December,Seasonal NPP dry (kg dry mass m-2 d-1) in autumn,0.00173,0.00203,<.0001,0.57,47
5,1,Frond density (num m-2) in January,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00067,0.00042,<.0001,0.79,40
5,2,Frond density (num m-2) in February,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00073,0.0004,<.0001,0.83,44
5,3,Frond density (num m-2) in March,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00078,0.0007,<.0001,0.82,44
5,4,Frond density (num m-2) in April,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.00083,0.00023,<.0001,0.87,44
5,5,Frond density (num m-2) in May,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.00079,0.0001,<.0001,0.92,44
5,6,Frond density (num m-2) in June,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.00077,-0.0001,<.0001,0.89,44
5,7,Frond density (num m-2) in July,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.0009,-0.00031,<.0001,0.74,47
5,8,Frond density (num m-2) in August,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00084,-0.00082,<.0001,0.83,47
5,9,Frond density (num m-2) in September,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00075,-0.00079,<.0001,0.81,47
5,10,Frond density (num m-2) in October,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00048,0.00039,<.0001,0.75,44
5,11,Frond density (num m-2) in November,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00053,0.00042,<.0001,0.6,47
5,12,Frond density (num m-2) in December,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00052,0.00049,<.0001,0.65,47
6,1,Frond density (num m-2) in January,Annual NPP dry (kg dry mass m-2 d-1),0.00162,0.00301,<.0001,0.64,40
6,2,Frond density (num m-2) in February,Annual NPP dry (kg dry mass m-2 d-1),0.00188,0.00285,<.0001,0.73,44
6,3,Frond density (num m-2) in March,Annual NPP dry (kg dry mass m-2 d-1),0.00203,0.00357,<.0001,0.74,44
6,4,Frond density (num m-2) in April,Annual NPP dry (kg dry mass m-2 d-1),0.00195,0.00363,<.0001,0.78,44
6,5,Frond density (num m-2) in May,Annual NPP dry (kg dry mass m-2 d-1),0.00185,0.00332,<.0001,0.82,44
6,6,Frond density (num m-2) in June,Annual NPP dry (kg dry mass m-2 d-1),0.00186,0.00268,<.0001,0.84,44
6,7,Frond density (num m-2) in July,Annual NPP dry (kg dry mass m-2 d-1),0.0022,0.00124,<.0001,0.8,44
6,8,Frond density (num m-2) in August,Annual NPP dry (kg dry mass m-2 d-1),0.00181,0.00099,<.0001,0.68,44
6,9,Frond density (num m-2) in September,Annual NPP dry (kg dry mass m-2 d-1),0.00158,0.00131,<.0001,0.57,44
6,10,Frond density (num m-2) in October,Annual NPP dry (kg dry mass m-2 d-1),0.00136,0.00215,<.0001,0.42,41
6,11,Frond density (num m-2) in November,Annual NPP dry (kg dry mass m-2 d-1),0.00104,0.00368,0.0002,0.28,44
6,12,Frond density (num m-2) in December,Annual NPP dry (kg dry mass m-2 d-1),0.00086,0.00464,0.0017,0.21,44
7,1,Frond density (num m-2) in January,Annual NPP carbon (kg carbon m-2 d-1),0.00046,0.00099,<.0001,0.65,40
7,2,Frond density (num m-2) in February,Annual NPP carbon (kg carbon m-2 d-1),0.00053,0.00092,<.0001,0.75,44
7,3,Frond density (num m-2) in March,Annual NPP carbon (kg carbon m-2 d-1),0.00056,0.00116,<.0001,0.72,44
7,4,Frond density (num m-2) in April,Annual NPP carbon (kg carbon m-2 d-1),0.00054,0.00117,<.0001,0.77,44
7,5,Frond density (num m-2) in May,Annual NPP carbon (kg carbon m-2 d-1),0.00052,0.00107,<.0001,0.82,44
7,6,Frond density (num m-2) in June,Annual NPP carbon (kg carbon m-2 d-1),0.00053,0.00087,<.0001,0.86,44
7,7,Frond density (num m-2) in July,Annual NPP carbon (kg carbon m-2 d-1),0.00064,0.00041,<.0001,0.86,44
7,8,Frond density (num m-2) in August,Annual NPP carbon (kg carbon m-2 d-1),0.00053,0.00031,<.0001,0.75,44
7,9,Frond density (num m-2) in September,Annual NPP carbon (kg carbon m-2 d-1),0.00047,0.00039,<.0001,0.63,44
7,10,Frond density (num m-2) in October,Annual NPP carbon (kg carbon m-2 d-1),0.0004,0.00067,<.0001,0.45,41
7,11,Frond density (num m-2) in November,Annual NPP carbon (kg carbon m-2 d-1),0.0003,0.00111,<.0001,0.3,44
7,12,Frond density (num m-2) in December,Annual NPP carbon (kg carbon m-2 d-1),0.00025,0.00139,0.001,0.23,44
8,1,Frond density (num m-2) in January,Subsurface FSC dry (kg dry mass m-2) in January,0.02777,0,<.0001,0.98,41
8,2,Frond density (num m-2) in February,Subsurface FSC dry (kg dry mass m-2) in February,0.02425,0,<.0001,0.95,45
8,3,Frond density (num m-2) in March,Subsurface FSC dry (kg dry mass m-2) in March,0.02338,0,<.0001,0.97,45
8,4,Frond density (num m-2) in April,Subsurface FSC dry (kg dry mass m-2) in April,0.02134,0,<.0001,0.94,46
8,5,Frond density (num m-2) in May,Subsurface FSC dry (kg dry mass m-2) in May,0.02061,0,<.0001,0.96,48
8,6,Frond density (num m-2) in June,Subsurface FSC dry (kg dry mass m-2) in June,0.02037,0,<.0001,0.97,48
8,7,Frond density (num m-2) in July,Subsurface FSC dry (kg dry mass m-2) in July,0.02123,0,<.0001,0.97,48
8,8,Frond density (num m-2) in August,Subsurface FSC dry (kg dry mass m-2) in August,0.02321,0,<.0001,0.96,48
8,9,Frond density (num m-2) in September,Subsurface FSC dry (kg dry mass m-2) in September,0.02533,0,<.0001,0.95,48
8,10,Frond density (num m-2) in October,Subsurface FSC dry (kg dry mass m-2) in October,0.02747,0,<.0001,0.94,45
8,11,Frond density (num m-2) in November,Subsurface FSC dry (kg dry mass m-2) in November,0.0303,0,<.0001,0.95,48
8,12,Frond density (num m-2) in December,Subsurface FSC dry (kg dry mass m-2) in December,0.0281,0,<.0001,0.97,48
9,1,FSC dry (kg dry mass m-2) in January,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00874,0.0005,<.0001,0.77,40
9,2,FSC dry (kg dry mass m-2) in February,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00897,0.0005,<.0001,0.81,44
9,3,FSC dry (kg dry mass m-2) in March,Seasonal NPP carbon (kg carbon m-2 d-1) in winter,0.00781,0.00098,<.0001,0.76,44
9,4,FSC dry (kg dry mass m-2) in April,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.0088,0.00047,<.0001,0.82,44
9,5,FSC dry (kg dry mass m-2) in May,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.00839,0.0003,<.0001,0.89,44
9,6,FSC dry (kg dry mass m-2) in June,Seasonal NPP carbon (kg carbon m-2 d-1) in spring,0.00838,0.00001,<.0001,0.94,44
9,7,FSC dry (kg dry mass m-2) in July,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00859,0.00037,<.0001,0.9,47
9,8,FSC dry (kg dry mass m-2) in August,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00719,0.00042,<.0001,0.96,47
9,9,FSC dry (kg dry mass m-2) in September,Seasonal NPP carbon (kg carbon m-2 d-1) in summer,0.00773,0.00027,<.0001,0.96,47
9,10,FSC dry (kg dry mass m-2) in October,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00323,0.00167,<.0001,0.5,44
9,11,FSC dry (kg dry mass m-2) in November,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00903,0.00019,<.0001,0.74,47
9,12,FSC dry (kg dry mass m-2) in December,Seasonal NPP carbon (kg carbon m-2 d-1) in autumn,0.00808,0.00033,<.0001,0.82,47
